nom, taille, reach, age, NbMatch, NbTitleMatch, NbRound, PourcentageWin, NbWinStreak, PourcentageWinTKO, PourcentageWinDecision, PourcentageWinSubmission, PourcentageLoss, NbLossStreak, PourcentageLossTKO, PourcentageLossDecision, PourcentageLossSubmission, PourcentageHead, PourcentageHeadDef, PourcentageBody, PourcentageBodyDef, PourcentageLeg, PourcentageLegDef, PourcentageSigStrike, PourcentageSigStrikeDef, PourcentageStrike, PourcentageStrikeDef, PourcentageTakedown, PourcentageTakedownDef, PourcentageClinch, PourcentageClinchDef, PourcentageDistance, PourcentageDistanceDef, PourcentageGround, PourcentageGroundDef, NbSubAttempts, NbSubDef, NbPass, NbReversals, NbSigStrike, NbStrike, NbHead, NbBody, NbLeg, NbTakedown, NbClinch, NbDistance, NbGround, NbSigStrikeDef, NbStrikeDef, NbHeadDef, NbBodyDef, NbLegDef, NbTakedownDef, NbClinchDef, NbDistanceDef, NbGroundDef, NbMatchAgainstAdv, NbWinAgainstAdv, NbLossAgainstAdv, nom2, taille2, reach2, age2, NbMatch2, NbTitleMatch2, NbRound2, PourcentageWin2, NbWinStreak2, PourcentageWinTKO2, PourcentageWinDecision2, PourcentageWinSubmission2, PourcentageLoss2, NbLossStreak2, PourcentageLossTKO2, PourcentageLossDecision2, PourcentageLossSubmission2, PourcentageHead2, PourcentageHeadDef2, PourcentageBody2, PourcentageBodyDef2, PourcentageLeg2, PourcentageLegDef2, PourcentageSigStrike2, PourcentageSigStrikeDef2, PourcentageStrike2, PourcentageStrikeDef2, PourcentageTakedown2, PourcentageTakedownDef2, PourcentageClinch2, PourcentageClinchDef2, PourcentageDistance2, PourcentageDistanceDef2, PourcentageGround2, PourcentageGroundDef2, NbSubAttempts2, NbSubDef2, NbPass2, NbReversals2, NbSigStrike2, NbStrike2, NbHead2, NbBody2, NbLeg2, NbTakedown2, NbClinch2, NbDistance2, NbGround2, NbSigStrikeDef2, NbStrikeDef2, NbHeadDef2, NbBodyDef2, NbLegDef2, NbTakedownDef2, NbClinchDef2, NbDistanceDef2, NbGroundDef2, NbMatchAgainstAdv2, NbWinAgainstAdv2, NbLossAgainstAdv2, res
Royce Gracie,185,74.5,27,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Gordeau,195,76.0,34,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
Trent Jenkins,187,75.0,25,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason DeLucia,180,73.6,24,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Royce Gracie,185,74.5,27,1,1,1,1.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,2,0,2,4,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Ken Shamrock,185,72.0,29,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
Gerard Gordeau,195,76.0,34,1,1,1,0.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.0,0.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,3,0,1,1,0,0,0,Kevin Rosier,193,83.0,32,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
Patrick Smith,187,79.0,30,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ken Shamrock,185,72.0,29,1,0,1,0.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,B
Art Jimmerson,185,74.5,30,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Royce Gracie,185,74.5,27,2,1,2,1.0,2,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,4,1,2,16,1,0,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,B
Kevin Rosier,193,83.0,32,1,0,1,0.0,0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.3529411764705882,0.0,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.33333333333333337,0,0,0,0,3,3,1,1,1,0,0,3,0,17,17,13,1,3,0,0,8,9,0,0,0,Zane Frazier,195,80.0,27,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
Teila Tuli,182,74.0,24,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Gordeau,195,76.0,34,2,1,2,0.5,1,1.0,0.0,0.0,0.5,0,0.0,0.0,1.0,0.5384615384615384,0.5,0.0,1.0,1.0,1.0,0.0,0.8,0.6470588235294118,0.5714285714285714,0.0,0.6666666666666667,0.0,0.0,0.625,0.0,0.6666666666666666,0.0,0,1,0,0,17,17,13,1,3,0,0,8,9,5,7,2,1,2,3,0,4,1,0,0,0,B
Royce Gracie,185,74.5,28,3,1,3,1.0,3,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8260869565217391,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0,6,1,5,23,2,0,3,5,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,Patrick Smith,187,79.0,31,1,0,1,0.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.8,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0,2,0,0,8,20,4,1,3,0,1,1,6,1,4,1,0,0,2,0,0,1,0,0,0,A
Remco Pardoel,190,81.0,25,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Royce Gracie,185,74.5,28,4,2,4,1.0,4,0.25,0.0,0.75,0.0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.8823529411764706,0.33333333333333337,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0,8,1,9,34,5,0,4,7,1,4,4,2,3,0,2,0,1,1,1,0,0,0,0,B
