fight_id,date,name,round,title,method,sig_attempts,sig_strikes,strike_attempts,strikes,td_attempts,takedowns,sub_attempts,pass,reversals,head_attempts,head,body_attempts,body,leg_attempts,leg,distance_attempts,distance,clinch_attempts,clinch,ground_attempts,ground,win/loss
4009,1993,Gerard Gordeau,1,yes,Submission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
4009,1993,Royce Gracie,1,yes,Submission,2,1,4,3,3,1,1,2,0,1,1,0,0,1,0,1,0,0,0,1,1,W
4010,1993,Trent Jenkins,1,no,Submission,7,1,7,1,0,0,0,0,0,5,0,1,0,1,1,7,1,0,0,0,0,L
4010,1993,Jason DeLucia,1,no,Submission,9,3,9,3,2,1,1,1,0,7,3,1,0,1,0,9,3,0,0,0,0,W
4011,1993,Ken Shamrock,1,no,Submission,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
4011,1993,Royce Gracie,1,no,Submission,0,0,12,12,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,W
4012,1993,Kevin Rosier,1,no,KO/TKO,3,0,3,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,L
4012,1993,Gerard Gordeau,1,no,KO/TKO,17,11,17,11,0,0,0,0,0,13,7,1,1,3,3,8,5,0,0,9,6,W
4013,1993,Patrick Smith,1,no,Submission,8,4,20,16,0,0,0,0,0,4,1,1,1,3,2,1,1,1,1,6,2,L
4013,1993,Ken Shamrock,1,no,Submission,1,1,4,4,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,W
4014,1993,Art Jimmerson,1,no,Submission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
4014,1993,Royce Gracie,1,no,Submission,3,0,7,4,1,1,0,2,0,1,0,0,0,2,0,3,0,0,0,0,0,W
4015,1993,Zane Frazier,1,no,KO/TKO,28,12,29,13,0,0,0,0,0,19,7,6,3,3,2,7,0,19,10,2,2,L
4015,1993,Kevin Rosier,1,no,KO/TKO,27,15,53,38,0,0,0,0,0,23,12,4,3,0,0,10,4,9,4,8,7,W
4016,1993,Teila Tuli,1,no,KO/TKO,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,L
4016,1993,Gerard Gordeau,1,no,KO/TKO,5,3,5,3,0,0,0,0,0,5,3,0,0,0,0,3,1,0,0,2,2,W
3994,1994,Patrick Smith,1,yes,KO/TKO,2,1,3,2,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,L
3994,1994,Royce Gracie,1,yes,KO/TKO,4,4,11,11,2,1,0,2,0,3,3,0,0,1,1,0,0,1,1,3,3,W
3995,1994,Remco Pardoel,1,no,Submission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3995,1994,Royce Gracie,1,no,Submission,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,W
3996,1994,Johnny Rhodes,1,no,Submission,9,4,9,4,0,0,0,0,0,5,2,0,0,4,2,9,4,0,0,0,0,L
3996,1994,Patrick Smith,1,no,Submission,12,5,12,5,0,0,1,0,0,4,1,2,2,6,2,10,3,2,2,0,0,W
3997,1994,Jason DeLucia,1,no,Submission,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
3997,1994,Royce Gracie,1,no,Submission,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,W
3998,1994,Orlando Wiet,1,no,KO/TKO,2,1,7,5,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,L
3998,1994,Remco Pardoel,1,no,KO/TKO,7,7,7,7,1,1,0,1,0,7,7,0,0,0,0,0,0,0,0,7,7,W
3999,1994,Fred Ettish,1,no,Submission,7,4,11,7,0,0,0,0,0,1,0,4,2,2,2,7,4,0,0,0,0,L
3999,1994,Johnny Rhodes,1,no,Submission,29,13,38,21,0,0,1,1,0,28,12,0,0,1,1,6,3,2,1,21,9,W
4000,1994,Scott Morris,1,no,KO/TKO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
4000,1994,Patrick Smith,1,no,KO/TKO,17,13,25,19,0,0,0,1,0,16,12,1,1,0,0,0,0,1,1,16,12,W
4001,1994,Minoki Ichihara,1,no,Submission,7,3,16,12,0,0,0,0,0,6,3,0,0,1,0,2,0,0,0,5,3,L
4001,1994,Royce Gracie,1,no,Submission,4,2,114,110,1,1,2,1,0,0,0,0,0,4,2,4,2,0,0,0,0,W
4002,1994,Scott Baker,1,no,Submission,2,0,23,14,1,1,0,3,2,2,0,0,0,0,0,2,0,0,0,0,0,L
4002,1994,Jason DeLucia,1,no,Submission,5,3,25,20,1,0,5,4,4,2,1,2,1,1,1,4,2,0,0,1,1,W
4003,1994,Alberto Cerra Leon,1,no,Submission,3,1,11,9,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,2,0,L
4003,1994,Remco Pardoel,1,no,Submission,6,4,22,20,1,1,1,2,0,5,4,0,0,1,0,1,0,0,0,5,4,W
4004,1994,Robert Lucarelli,1,no,KO/TKO,6,2,6,2,1,1,1,0,0,2,1,1,0,3,1,6,2,0,0,0,0,L
4004,1994,Orlando Wiet,1,no,KO/TKO,12,8,15,11,0,0,0,0,0,11,7,1,1,0,0,3,1,0,0,9,7,W
4005,1994,Thaddeus Luster,1,no,Submission,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L
4005,1994,Frank Hamaker,1,no,Submission,3,2,15,14,1,1,3,4,1,3,2,0,0,0,0,1,1,0,0,2,1,W
4006,1994,David Levicki,1,no,KO/TKO,5,4,102,95,0,0,0,0,0,5,4,0,0,0,0,2,1,2,2,1,1,L
4006,1994,Johnny Rhodes,1,no,KO/TKO,17,11,86,74,1,1,0,1,0,15,9,1,1,1,1,1,1,1,1,15,9,W
4007,1994,Ray Wizard,1,no,Submission,1,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,L
4007,1994,Patrick Smith,1,no,Submission,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,W
4008,1994,Sean Daugherty,1,no,Submission,4,0,5,1,0,0,0,0,0,2,0,0,0,2,0,3,0,1,0,0,0,L
4008,1994,Scott Morris,1,no,Submission,1,1,2,2,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,W
3988,1994,Harold Howard,1,yes,KO/TKO,6,2,7,3,0,0,1,0,0,6,2,0,0,0,0,4,1,1,1,1,0,L
3988,1994,Steve Jennum,1,yes,KO/TKO,11,6,13,7,1,1,0,3,0,11,6,0,0,0,0,2,1,0,0,9,5,W
3989,1994,Felix Lee Mitchell,1,no,Submission,3,3,22,21,0,0,0,0,0,0,0,1,1,2,2,0,0,3,3,0,0,L
3989,1994,Ken Shamrock,1,no,Submission,4,4,7,7,2,1,1,3,0,1,1,2,2,1,1,0,0,3,3,1,1,W
3990,1994,Kimo Leopoldo,1,no,Submission,9,6,10,6,1,1,0,2,1,6,3,2,2,1,1,1,0,3,3,5,3,L
3990,1994,Royce Gracie,1,no,Submission,6,2,21,17,2,0,1,1,1,1,1,2,0,3,1,0,0,6,2,0,0,W
3991,1994,Roland Payne,1,no,KO/TKO,4,3,4,3,2,1,0,1,0,0,0,2,2,2,1,2,2,2,1,0,0,L
