name,height,reach,age
David Velasquez,165,66,48
Lowell Anderson,167,66.5,45
Minoki Ichihara,170,67.5,50
Ben Earwood,172,68.5,47
Keith Mielke,172,68.5,42
David Lee,177,70,38
Keigo Kunihara,182,71,40
Asbel Cancio,177,71.5,48
Dwayne Cason,177,71.5,47
Marcelo Aguiar,177,71.5,45
Orlando Wiet,177,71.5,51
Paul Herrera,177,71.5,52
Scott Morris,182,71.5,55
Steve Jennum,177,71.5,53
Wes Albritton,177,71.5,50
Alex Hunter,175,71.7,50
Bob Cook,175,71.8,45
Josh Stewart,175,71.8,35
Roland Payne,175,71.8,52
Valeri Ignatov,175,71.9,48
Curt Warburton,182,73,35
Donnie Chappell,180,73.7,47
Onassis Parungao,180,73.7,52
Reza Nasri,180,73.7,49
Brad Gumm,180,73.8,42
Ernie Verdicia,177,73.8,54
Alberto Cerra Leon,172,74,49
David Hood,182,74,47
Johnny Rhodes,182,74,55
Sam Fulton,187,74.5,49
Joe Pardo,185,74.5,44
Steven Graham,185,74.6,55
Robert Lucarelli,187,75,53
Steve Judson,185,75.5,53
Jack Nilson,190,76,48
Ray Wizard,187,76,51
Saeed Hosseini,193,77,47
Stevie Lynch,177,77,46
Julian Sanchez,190,77,53
Rex Holman,190,78,42
Frank Hamaker,190,78,53
Courtney Turner,187,79,47
Marcus Silveira,190,80,55
Ryan Parker,190,80,51
Thaddeus Luster,190,80,53
Sage Northcutt,182,71,20
Claudio Puelles,180,71.5,20
Veronica Macedo,162,64,21
Cristina Stanciu,160,64,22
Paige VanZant,162,65,22
Larissa Pacheco,170,69,22
Arnold Allen,172,70,22
Jake Matthews,175,72,22
Ray Borg,162,63,23
Alexa Grasso,165,66,23
Matheus Nicolau,167,66,23
Sergio Pettis,167,69,23
Joe Gigliotti,180,69,23
Brandon Moreno,170,70,23
Martin Bravo,172,71,23
Chris Avila,177,72,23
Marc Diakiese,177,73,23
Clay Collard,180,73,23
Marvin Vettori,182,74,23
Luis Henrique,187,74,23
Luan Chagas,182,75,23
Ion Cutelaba,185,75,23
Rose Namajunas,165,65,24
Justin Scoggins,170,66,24
Leonardo Morales,172,68,24
Filip Pejic,172,70,24
Marlon Vera,172,70,24
Brett Johns,170,71,24
Lando Vannata,175,71,24
Marcin Held,175,71,24
Jason Knight,177,71,24
Jeremy Kennedy,180,71,24
Yair Rodriguez,180,71,24
Vernon Ramos,167,72,24
Taylor Lapilus,167,73,24
Jessin Ayari,182,73,24
Darren Till,182,74,24
Mickey Gall,187,74,24
Kevin Lee,175,77,24
Nikita Krylov,190,77,24
Jessica Andrade,154,62,25
Amanda Cooper,160,64,25
Yao Zhikui,165,64,25
Kailin Curran,162,65,25
Izabela Badurek,165,65,25
Bruno Korea,167,65,25
Cody Garbrandt,172,65,25
Maryna Moroz,170,67,25
Joby Sanchez,167,68,25
Zubaira Tukhugov,172,68,25
Ketlen Vieira,172,68,25
Louis Smolka,175,68,25
Teruto Ishihara,170,69,25
Brian Ortega,172,69,25
Diego Rivas,172,69,25
Max Holloway,180,69,25
Thomas Almeida,170,70,25
Mirsad Bektic,172,70,25
Michael McDonald,175,70,25
Dooho Choi,177,70,25
Islam Makhachev,177,70,25
Kelvin Gastelum,175,71,25
Michael Graves,177,71,25
Mike Perry,177,71,25
Cesar Arzamendia,180,71,25
Albert Morales,175,72,25
Warlley Alves,180,72,25
Albert Tumenov,180,73,25
Yuri Villefort,182,73,25
Tom Breese,190,73,25
Leon Edwards,182,74,25
An Ying Wang,182,74,25
Rodrigo de Lima,170,75,25
Vicente Luque,180,75,25
William Patolino,180,75,25
Sean Strickland,185,76,25
Glaico Franca,182,77,25
Andy Enz,190,78,25
Tyson Pedro,190,78,25
Curtis Blaydes,193,80,25
Alexandra Albu,157,62,26
Roldan Sangcha-an,162,65,26
Geane Herrera,165,66,26
Kyoji Horiguchi,165,66,26
Azamat Gashimov,167,66,26
John Lineker,160,67,26
Michinori Tanaka,165,67,26
Tatiana Suarez,165,67,26
Justin Lawrence,172,67,26
Alexis Dufresne,175,68,26
Jose Quinonez,172,69,26
Horacio Gutierrez,177,69,26
Damian Stasiak,165,70,26
Stevie Ray,177,70,26
Lukasz Sajewski,172,71,26
Christos Giagos,177,71,26
Zhang Lipeng,180,71,26
Alex Morono,180,72,26
Cody Pfister,177,73,26
Nah-Shon Burrell,180,73,26
Robert Whittaker,182,73,26
Andre Fili,180,74,26
Alvaro Herrera,182,74,26
Darren Stewart,182,74,26
Khalil Rountree,185,74,26
Jason Gonzalez,187,74,26
Dan Hooker,182,75,26
Devin Clark,182,75,26
Steve Montgomery,193,75,26
Will Chope,193,76,26
Viktor Pesta,190,77,26
Randy Brown,190,78,26
Antonio Carlos Junior,187,79,26
Alex Nicholson,193,81,26
Danielle Taylor,152,60,27
Tecia Torres,154,60,27
Milana Dudieva,160,61,27
Sheila Gaff,165,62,27
Bec Rawlings,167,64,27
Sirwan Kakai,165,66,27
Alejandro Perez,167,67,27
Yusuke Kasuya,170,67,27
Jimmie Rivera,162,68,27
Ryan Benoit,165,68,27
Ericka Almeida,167,68,27
Erik Perez,172,68,27
Levan Makashvili,172,68,27
Julianna Pena,167,69,27
Andy Ogle,172,69,27
Joaquim Silva,172,69,27
Kwan Ho Kwak,165,70,27
Enrique Barzola,170,70,27
Aaron Phillips,175,70,27
Olivier Aubin-Mercier,175,70,27
Sean Soriano,175,70,27
Leonardo Mafra,177,70,27
Marcin Bandel,177,70,27
Rick Glenn,182,70,27
Aljamain Sterling,170,71,27
Dustin Kimura,170,71,27
Brendan Loughnane,175,71,27
JC Cottrell,175,71,27
Jonavin Webb,177,71,27
Ulka Sasaki,177,71,27
Dustin Poirier,175,72,27
Juan Puig,175,72,27
Beneil Dariush,177,72,27
Johnny Case,177,72,27
Renato Moicano,180,72,27
Bryan Barberena,182,72,27
David Teymur,175,73,27
Ben Wall,177,73,27
Frankie Perez,180,73,27
Jack Marshman,182,73,27
Jordan Mein,182,73,27
Michael Kuiper,182,73,27
Pawel Pawlak,182,73,27
Tony Martin,182,73,27
Charles Oliveira,177,74,27
Alessio Di Chirico,182,74,27
Josh Shockley,185,74,27
Mike Rhodes,185,74,27
Niklas Backstrom,185,74,27
Marcio Alexandre Junior,182,75,27
Julian Erosa,185,75,27
Dhiego Lima,187,75,27
Rory MacDonald,182,76,27
Bradley Scott,185,76,27
Collin Hart,185,76,27
Henrique da Silva,190,76,27
Matt Dwyer,193,76,27
Krzysztof Jotko,185,77,27
Chase Sherman,193,78,27
Dominic Waters,185,79,27
Corey Anderson,190,79,27
Tina Lahdemaki,157,62,28
Claudia Gadelha,162,63,28
Justine Kish,165,64,28
Alex Volkanovski,167,64,28
Ben Nguyen,165,65,28
Dustin Ortiz,165,65,28
Jenel Lausa,165,65,28
Jianping Yang,170,65,28
Josh Ferguson,165,66,28
Valentina Shevchenko,165,67,28
Raquel Pennington,170,67,28
Roman Salazar,170,67,28
Sarah Moras,170,67,28
Jared Papazian,172,67,28
Katlyn Chookagian,175,68,28
Nolan Ticman,167,69,28
Amanda Nunes,172,69,28
Pat Schilling,172,69,28
Paddy Holohan,177,69,28
Anistavio Medeiros,167,70,28
Dashon Johnson,170,70,28
Joey Gambino,170,70,28
Drew Dober,172,70,28
Alex Torres,177,70,28
Erik Koch,177,70,28
